Target,V_rms,I_rms,PF,THD
Resistive,12,0.4443,1,0.00002906
Resistive,12,1.1997,1,0.00002557
Resistive,12,0.7998,1,0.00002933
Resistive,12,0.5453,1,0.0000233
Resistive,12,0.3635,1,0.00002074
Resistive,12,0.2552,1,0.00003129
Resistive,12,0.2142,1,0.00002857
Resistive,12,0.1764,1,0.00002191
Resistive,12,0.1463,1,0.0000193
Resistive,12,0.12,1,0.00002045
Resistive,7.07,0.2618,1,0.00001759
Resistive,8.48,0.3142,1,0.00002478
Resistive,9.9,0.3666,1,0.00001422
Resistive,10.6,0.3927,1,0.00002659
Resistive,11.31,0.4189,1,0.00002315
Resistive,12.72,0.4713,1,0.0000235
Resistive,13.43,0.4975,1,0.00002835
Resistive,14.14,0.5237,1,0.00001759
Resistive,15.55,0.576,1,0
Inductive,11.93,0.4387,0.9935,0.00001829
Inductive,11.97,0.4192,0.9483,0.00001896
Inductive,11.98,0.3857,0.8793,0.0002296
Inductive,11.96,0.3389,0.7867,0.01168
Inductive,11.97,0.2966,0.7025,0.08354``
Inductive,11.97,0.2317,0.5716,0.5779
Inductive,11.99,0.1887,0.4812,1.456
Inductive,11.99,0.1587,0.4166,2.448
Inductive,11.99,0.1372,0.3682,3.372
Inductive,11.99,0.4031,0.3957,2.832
Inductive,11.99,0.3673,0.5136,1.077
Inductive,11.97,0.3355,0.6059,0.3785
Inductive,11.97,0.2675,0.7626,0.02253
Inductive,11.96,0.2419,0.8077,0.006056
Inductive,11.98,0.2136,0.8516,0.001053
Inductive,11.96,0.1873,0.8859,0.000149
Inductive,11.95,0.1601,0.9165,0.00002138
Inductive,11.97,0.1366,0.9392,0.0000204
Inductive,11.97,0.1143,0.9572,0.00001999
Non-linear,11.65,0.3708,0.7726,48.66
Non-linear,11.9,0.5089,0.6914,77.1
Non-linear,12,0.5893,0.6698,90.92
Non-linear,12.08,0.6428,0.6545,101.6
Non-linear,12.09,0.6772,0.6279,110.2
Non-linear,12.11,0.7196,0.6231,115.9
Non-linear,12.12,0.7484,0.6182,119.2
Non-linear,12.13,0.7662,0.6141,120.7
Non-linear,12.13,0.7832,0.6064,121.4
Non-linear,12.12,0.8022,0.6019,121.7
Non-linear,11.93,1.835,0.7533,69.7
Non-linear,12.05,1.1878,0.6867,92.24
Non-linear,12.09,0.8972,0.6499,105.5
Non-linear,12.13,0.6228,0.6061,122.6
Non-linear,12.14,0.5439,0.5883,128.9
Non-linear,12.18,0.43,0.5584,139.8
Non-linear,12.17,0.3711,0.5405,146.9
Non-linear,12.16,0.2747,0.5003,161.9
Non-linear,12.17,0.2228,0.4708,172.5
